Filename,Sentence
1-Three.wav,Henry sent the idea to the publisher.
2-Three.wav,Did the FBI eradicate the accusation from Ted's file?
3-Three.wav,Smith appointed Nina as Sales Director.
4-Three.wav,Did the postal service forward the  package to Bob?
5-Three.wav,The pastor quoted the Bible to the congregation.
6-Three.wav,Did the priest baptize the baby into Catholicism?
7-Three.wav,Gerry filters the water from the reservoir.
8-Three.wav,Did the hunter drag the deer to his car?
9-Three.wav,Franny mumbled an insult to Ted.
10-Three.wav,Did Howard entrust the secret plans to Jamie?
11-Three.wav,Pauline lifted the box up to Ellie.
12-Three.wav,Did Ray remove the kettle from the kitchen?
13-Three.wav,Johnny recited a poem to his grandmother.
14-Three.wav,Did Greg confess the theft to Sandra?
15-Three.wav,Martin promised an ice cream to Holly.
16-Three.wav,Did Jesse bring the book to the library?
17-Three.wav,Mrs. Johnson assigned three kids to the task.
18-Three.wav,Dr. Miller delegated the assignment to his employees.
19-Three.wav,Jenny smuggled some bottles to the inmates.
20-Three.wav,Did Sue issue the checks to the cleaners?
21-Three.wav,Douglas chirped some compliments to Audrey.
22-Three.wav,Did Gus mention his numbers to the tax attorney?
23-Three.wav,Sarah dismissed the stylist from her powder room.
24-Three.wav,Did Josh bat the balls to the girls?
25-Three.wav,Mrs. Friedman revealed the scandal to reporters.
26-Three.wav,Did Monica scream curses at Hugh?
27-Three.wav,Olivia provided lunch for the children.
28-Three.wav,Did Jonathan bequeath the pictures to Hannah?
29-Three.wav,General White signaled the attack to the troops.
30-Three.wav,Did the king allocate funds to the orphanages?
31-Three.wav,Nancy fed the porridge to little Tanya.
32-Three.wav,Did Natalie take the dogs to the vet?
33-Three.wav,Fynn texted the joke to Annie.
34-Three.wav,Did the priest preach the sermon to Harvard students?
35-Three.wav,The pope crowned the general as the new emperor.
36-Three.wav,Did Christian wire the money to Anna?
37-Three.wav,Owen withdrew his submission from the webpage.
38-Three.wav,Did the captain name the ship Titanic?
39-Three.wav,Harvard banished the cheater from campus.
40-Three.wav,Did June schlep the laundry to the dry cleaner?
41-Three.wav,Neil hurled the insult at Naomi.
42-Three.wav,Did the author omit his coauthor from the paper?
43-Three.wav,"The contractor billed the homeowner $20,000."
44-Three.wav,The Pope excommunicated the leader from the church.
45-Three.wav,The witness withdrew her testimony from the record.
46-Three.wav,Did Mirta blame the accident on Terry?
47-Three.wav,Richard stole the purse from Mrs. Nixon.
48-Three.wav,Did Tracy snitch on the cheating student to the teacher?
49-Three.wav,Dr. Patton cured the patient of pneumonia.
50-Three.wav,Adam plagiarized the script from the internet.
51-Three.wav,Jeff grabbed the orange juice from the counter.
52-Three.wav,Claudine weaned the baby from her breast.
53-Three.wav,Obama broadcast his tax plan to the audience.
54-Three.wav,Did Romney display his wealth to the public?
55-Three.wav,Matt bat the ball to Sidney.
56-Three.wav,Hank carted the sand to the construction site.
57-Three.wav,Jack demonstrated his knowledge to the teacher.
58-Three.wav,Did Romney propose any tax increases to Congress?
59-Three.wav,Jimmy bused the kids to soccer practice.
60-Three.wav,Did Talia mail her belongings to her parents?
61-Three.wav,Maria narrated her story to reporters.
62-Three.wav,Did Ben retrieve the story from the internet?
63-Three.wav,Sally poured some coffee into her mug.
64-Three.wav,Did Andrew wipe the stains from the sofa?
65-Three.wav,The debate drained all energy from the candidate.
66-Three.wav,The ranger cabled the news to the capital.
67-Three.wav,Jean handed the plate to Caleb.
68-Three.wav,Did Mandy rent the basement to her neighbor?
69-Three.wav,Freida communicated her frustration to Don.
70-Three.wav,Did the press credit the falling gas prices to the President?
71-Three.wav,Janet sold her apartment to Daniel.
72-Three.wav,Did theMafia deplete the city of  resources?
73-Three.wav,Elsa introduced her husband to gambling.
74-Three.wav,Did Beth read a story to Olive?
75-Three.wav,Chris passed the butter to Paul.
76-Three.wav,Did Ina peddle some money from her mother?
77-Three.wav,Maggie explained her reasoning to Fred.
78-Three.wav,Did Nellie dictate her rules to the household?
79-Three.wav,David recommended the contractors to Jenny.
80-Three.wav,Did Tom kidnap his children from the daycare?
81-Three.wav,Ted contributed good ideas to the conversation.
82-Three.wav,Did the government declare war on the terrorists?
83-Three.wav,The pirates captured the flag from the British.
84-Three.wav,Did Romanl confiscate the booze from the students?
85-Three.wav,The raids despoiled the inhabitants of all dignity.
86-Three.wav,Did Harvey fax the bills to the customer?
87-Three.wav,The regime depopulated the district of protesters.
88-Three.wav,Did the restaurant donate the meals to the homeless?
89-Three.wav,The professor culled some good examples from the database.
90-Three.wav,Did the authorities grant immunity to the witness?
91-Three.wav,Peggy served the meals to the customers.
