VERB,LEVIN CHAPTER MENTIONS (comma-separated)
abandon,51.2
accelerate,"1.1.2.1, 45.4"
acquire,"2.2, 13.5.2, 14"
admire,"2.10, 2.13.1, 2.13.2, 2.13.3, 31.2 "
adorn/decorate,"2.3.1, 2.7, 3.5, 9.8, 25.3"
allocate,"1.1.2.1, 2.1, 2.6, 13.3"
americanize,"1.1.2.1, 45.4"
applaud,"2.10, 2.13.1, 2.13.2, 2.13.3, 33.1"
appoint,"2.1, 2.14, 29.1"
appreciate,"2.10, 2.13.1, 2.13.2, 2.13.3, 2.13.5, 2.14, 29.2, 31.2, 45.6"
assassinate,"1.1.2.1, 42.1"
assign,"1.1.2.1, 2.1, 2.6, 13.3"
await,6.1
bag,"7.2, 9.10"
bandage,"2.3.1, 3.5, 9.8"
banish,"2.3.2, 10.2"
baptize,"2.1, 2.14, 29.3"
bat,"1.2.2, 2.1, 2.8, 8.3, 17.1, 40.3.2"
battle,"1.2.4, 1.4.2, 2.5.4, 36.4"
bequeath,"1.1.2.1, 2.1, 2.6, 13.3"
bill,"2.1, 2.14, 29.2, 54.5"
blacken,"1.1.2.1, 45.4"
blame,2.1
bombard,"2.3.1, 3.5, 9.8, 17.2 "
break,"1.1.2.1, 1.2.3, 1.3, 2.3.2, 2.5.3, 2.5.4, 2.5.6, 2.8, 2.12, 6.1, 6.2, 7.6.1, 7.6.2, 10.6, 23.2, 40.8.3, 45.1, 48.1.1"
bring,"2.1, 7.5, 7.7, 11.3"
broadcast,2.1
burp,"1.1.2.3, 40.1.1"
bus,"2.1, 11.5, 51.4.1"
cable,"2.1, 37.4"
capture,"2.2, 2.3.2, 10.5"
caramelize,"1.1.2.1, 45.4"
cart,"2.1, 11.5"
cause,27
cherish,"2.10, 2.13.1, 2.13.2, 2.13.3, 31.2"
chirp,"2.1, 7.1, 7.3, 37.3, 38"
chop,"1.1.2.1, 1.2.1, 1.3, 2.12, 21.2"
clear,"1.1.2.1, 2.2, 2.3.2, 2.3.5, 10.3, 26.3, 45.4, 57"
coat,"2.3.1, 3.5, 9.8"
communicate,"1.2.4, 1.4.2, 2.1, 2.5.4, 36.1"
confess,"2.1, 2.14, 29.4, 37.7"
confide,37.7
confiscate,"2.2, 2.3.2, 10.5"
confront,6.1
consult,"1.2.4, 1.4.2, 2.5.4, 36.3"
